S_i,A_i
4119062,43078
2538485,18943
3316337,43271
2498196,10599
4871684,20863
3558253,45038
4569965,36511
2691536,19201
4485393,32856
3878073,25031
4018548,38004
4540220,46726
3035822,39288
4195519,32610
3058080,37398
3656298,32735
1043450,12957
2311985,20451
3905656,28433
4579475,10139
1841087,25391
3551991,13807
1824586,33302
4693187,40963
1122804,45153
3432273,41156
1070862,34460
3810568,11528
3342917,19493
4343764,27416
3744419,16912
1109368,48484
1743033,26814
2403788,17820
3572092,26211
1425838,39105
1010365,12461
4734781,30970
1913929,38781
2670993,21439
4567871,29081
2448720,16605
3223048,28893
1497092,19514
4236987,49739
4031837,43036
3336694,42679
4681539,13484
3748724,44305
4139909,15465
1182817,49732
4627327,26274
2832949,22895
3514225,17326
4685100,24394
4392447,29352
1678521,38337
3048288,10564
1655757,20192
2690760,37361
1458646,21768
1169558,33247
2957549,45299
3737123,16712
3997001,32193
2754818,47028
2580676,31905
3971154,48218
4606487,27292
4729102,32312
2098586,36478
4997587,27722
1550273,19133
3823649,44227
4830680,27789
2229267,46064
2732939,27643
2631381,18381
1383111,37729
2954395,40792
4106196,39896
3609222,49171
1079829,20847
2779310,44870
1861176,10717
1454321,44540
3887703,44537
3554994,44788
1941842,13188
1920336,36980
4975612,34701
1582715,48131
1500071,27760
4036335,20031
3185676,30938
1771237,47811
3181985,48527
4045449,36258
2847039,43876
1963775,42411
3626364,28526
2555684,33191
4381318,33098
4581103,26358
2677989,19159
2528828,43889
2329816,40852
3822089,39866
4712107,47423
2775504,45898
1587227,48943
2714121,40200
2880431,25246
3015951,45536
3117677,19940
4792940,43068
1313780,33521
4134315,20992
3849905,14083
2845689,34493
1499702,23305
4656314,35900
4563341,36142
2538542,37298
1986549,38905
3668508,48584
3954143,46846
4831271,30736
1674211,23485
3291692,18475
1586310,16718
3894583,20930
2661745,18045
1588612,11207
2510280,31045
3281258,41752
2958816,18399
2039587,20068
3583144,10894
1203343,23290
2863386,11417
4921195,35971
3634453,46140
1861943,26181
2944529,33935
2025323,37261
4594412,43568
3937123,31945
2916574,41375
2030575,32925
1840578,33877
3765055,46961
1635600,25231
4138158,49529
4094507,48042
3049440,10754
4889679,13178
1750642,49885
1040501,28460
1796349,26152
4391248,32168
1881905,30983
4328696,15932
3748800,32237
3798398,10312
1938317,10659
4455773,41289
3731287,28412
1190556,47883
2772900,18312
3912545,38176
3419444,36275
2000908,29756
3851108,47590
2061366,27622
1434618,26858
1965103,45857
1916955,17347
4488543,43992
1570442,18348
4430838,27229
4600205,49618
2517898,36275
2952795,46623
3953289,21019
4090406,26250
3464238,47592
2943809,25329
3534870,14097
3713778,30086
2266250,39979
1200666,48478
3904872,31772
2410181,35075
4457082,14778
2025017,33597
2629828,40559
3550308,26619
3260021,49083
4295741,44861
1577945,43808
3742414,36034
4894775,13487
4267502,30364
4920816,23605
3688737,41839
4529606,45571
4785210,11346
3367459,40132
1088870,25502
1348710,29963
1166062,38863
1274761,12945
3239807,46821
1617907,37979
2950799,12856
1328167,25809
3660352,45582
4774054,34417
4594628,41670
3503387,33591
4849629,28095
3653148,12568
4265248,29364
1584212,48339
3150091,27397
3201130,10352
1544617,16458
3785718,36006
3139129,48326
4298216,17836
4476004,37854
4812015,34464
3154798,45875
4405323,25624
4213423,13271
2560561,11387
1552370,36510
4343185,40050
4997015,28519
4164893,34012
2223386,10828
4779230,42423
2747980,18880
4470438,32401
1538968,21678
3595828,18420
1807934,24008
3336142,11670
4409141,23893
1257183,17141
4895606,36822
1346203,25406
1494555,31751
2072192,26451
