S_i,A_i
9,9
88,88
10,10
61,61
56,56
48,48
51,51
84,84
76,76
66,66
2,2
63,63
82,82
40,40
50,50
24,24
17,17
91,91
7,7
54,54
69,69
98,98
12,12
29,29
49,49
35,35
52,52
22,22
95,95
90,90
30,30
98,98
57,57
52,52
78,78
69,69
12,12
42,42
31,31
39,39
80,80
71,71
47,47
30,30
34,34
49,49
88,88
17,17
82,82
76,76
61,61
21,21
92,92
94,94
7,7
24,24
65,65
33,33
100,100
91,91
14,14
33,33
13,13
7,7
60,60
93,93
23,23
96,96
79,79
43,43
38,38
29,29
28,28
32,32
42,42
98,98
63,63
81,81
89,89
39,39
67,67
49,49
64,64
99,99
73,73
81,81
30,30
22,22
92,92
90,90
76,76
29,29
40,40
3,3
38,38
24,24
96,96
45,45
31,31
37,37
