S_i,A_i
77,82
50,49
76,81
97,100
41,46
21,18
21,17
27,24
55,55
100,96
75,74
63,65
59,56
35,38
38,42
21,23
64,69
88,91
92,94
38,43
35,36
77,79
66,66
91,93
26,25
30,29
42,45
81,77
58,63
72,75
75,75
99,103
21,24
62,66
59,62
78,76
20,20
81,85
73,78
89,92
82,79
98,100
92,92
46,51
60,60
34,32
31,30
67,64
85,88
25,22
66,69
34,39
43,46
25,24
45,48
65,61
61,63
83,81
89,91
26,25
93,93
22,20
30,30
46,43
85,86
47,52
98,103
82,79
72,76
23,20
51,51
26,29
78,76
78,79
57,53
70,67
73,78
34,39
50,54
28,25
56,51
97,97
55,54
28,32
70,75
76,81
59,64
25,27
23,26
48,43
64,69
56,52
53,49
80,79
58,60
77,79
44,48
63,64
71,69
89,93
