S_i,A_i
26,4394
77,15169
36,5724
1,163
42,7812
98,17640
49,9506
9,1638
42,6552
46,8970
87,16965
18,3222
56,10024
15,2325
86,14190
92,14812
46,7728
78,13338
81,13932
63,12096
53,9911
49,8036
37,5587
19,3686
40,18810
36,6300
67,12194
1,183
98,18032
39,7215
21,3675
11,1881
1,155
73,12702
4,704
36,5580
4,604
83,13197
27,4995
58,8758
67,12060
82,15908
86,15308
55,10010
19,3781
48,8928
49,8428
20,3220
87,14442
90,13590
88,17072
41,8159
73,11607
36,6732
94,16074
17,2941
96,15456
9,1566
66,12870
48,9072
9,1485
59,10089
84,14196
47,8225
23,3726
29,4959
99,18612
3,492
31,5611
63,12474
51,8874
12,2028
61,11712
69,13455
99,14850
52,10088
99,18117
69,11385
2,374
5,925
75,13725
38,6840
27,4779
38,7448
66,12210
27,4428
88,17512
70,14000
37,5587
56,9240
40,7280
90,17640
97,14647
54,9666
87,17226
38,7182
30,5640
69,11868
16,2688
4,748
85,16745
87,14268
52,9152
33,6072
25,4425
8,1376
71,13490
21,3822
50,8950
67,11725
94,17296
90,14130
79,14457
99,16830
42,8022
72,13536
15,2775
46,8602
90,17640
20,3720
82,16236
74,12284
36,5724
61,11590
12,1860
29,4582
63,11592
65,12805
65,12025
72,11160
29,5423
65,12675
66,12276
13,2119
61,10980
2,350
34,5440
95,15010
50,9950
23,4163
78,13572
24,3936
62,9734
75,12750
88,14344
43,7310
8,1472
65,12220
72,12456
59,9499
85,14535
75,11925
78,14196
29,4350
43,8342
80,14320
44,7920
81,14337
49,8526
66,12804
49,8820
11,2079
90,15120
90,18000
89,17800
47,8131
14,2282
96,15072
81,14013
95,15010
72,13032
56,10696
85,14960
66,12210
76,11552
29,4901
100,15200
78,15054
27,5265
5,870
69,11247
50,7750
32,6048
11,2090
75,13350
78,11778
53,7950
39,5850
18,3456
3,588
67,10251
65,12805
74,11322
8,1200
30,5940
47,7896
16,2576
97,16781
43,8084
36,6552
