Gallardo,Wachoffisde,Musso,Lautaro Martinez
Mauro Zarate,Tucu Pereyra,Rulli,Enzo Fernandez
Abila,Beltran,Montiel,Julian Alvarez
Di Maria,Pity Martinez,Balerdi,Garnacho
Cuti Romero,Luka Romero,Tagliafico,Otamendi
Riquelme,Colo Barco,Medina,Acuna
Simeone,Messi,Lo Celso,Ortiz
Pezzella,Dibu,Paredes,Bertoni
Palermo,Changuito Zeballos,Mac Allister,Alonso
Buendia,Colidio,Almada,Galvan
Burrito Ortega,Casco,Nico Paz,Nico Gonzalez
Chiquito Romero,Soule,Alvarez,Carboni
Dybala,Gonzalez,Maradona,Martin
Lopez,Martinez,Ruggeri,Gallego
De Paul,Palacios,Burruchaga,Enzo Perez
